,Sindex_Entry,Freq,Category
0,AC,36,Organization
1,ACCI,7,Organization
2,ICAC,5,Organization
3,ACL,3,Organization
4,NAC Breda,3,Organization
5,ACT 2610,3,Organization
6,SUPERCOACH,2,Organization
7,THING I SAID BACK IN SEASON 3,2,Organization
8,RAC1,2,Organization
9,ACT's MLAs,1,Organization
10,TACTICOS,1,Organization
11,EsportsRAC1,1,Organization
12,ACCC,1,Organization
13,HVAC,1,Organization
14,ACT Police Force,1,Organization
15,ACT Commissioner,1,Organization
16,SACRIFICIAL LAMB,1,Organization
17,ACST,1,Organization
