,Sindex_Entry,Freq,Category
0,Adam,50,Organization
1,Adam Carr,7,Organization
2,Adam Simpson,5,Organization
3,Adam Curley,4,Organization
4,Adam Phillips,3,Organization
5,Adam Reynolds,3,Organization
6,Marcus Adams,3,Organization
7,Adam Armstrong,3,Organization
8,Adam Clydsdale,3,Organization
10,Adam Oxley,2,Organization
11,Adam Blair 11,2,Organization
12,Adam Kennedy,2,Organization
13,"Adam Clydsdale, 19",2,Organization
14,Adam Elliott 13,2,Organization
15,Adam Reynolds 8,2,Organization
16,Adam Goodes,1,Organization
17,Adam Fryday,1,Organization
18,Adamstown,1,Organization
19,SES Commissioner Adam Dent,1,Organization
20,Adam Taylor.Source,1,Organization
21,Taylor Adams,1,Organization
22,Adam McLean,1,Organization
24,Adam Cooney,1,Organization
