,Sindex_Entry,Freq,Category
0,Alex,63,Organization
1,Alex Ellinghausen,7,Organization
2,Alex Malley,6,Organization
5,Alex Whitmore,3,Organization
8,Alexandre Lacazette,3,Organization
10,Alex Manninger,3,Organization
11,Alex Pearce,2,Organization
12,Alex Glenn 12,2,Organization
14,Naked CEO Alex Malley,2,Organization
15,Alex Twal 15,2,Organization
16,Alex Johnston 2,2,Organization
17,Alex Silvagni,2,Organization
18,CPA CEO Alex Malley,2,Organization
19,Alex Chidiac,1,Organization
20,Alex Witherden,1,Organization
21,Alex Leggett,1,Organization
22,Wollongong Lord Mayor Alex Darling,1,Organization
24,Alex Dimitriades,1,Organization
26,Tiger Alex Rance,1,Organization
27,Tom Alexander,1,Organization
