,Sindex_Entry,Freq,Category
0,Andrew,36,Person
1,Andrew Meares,7,Person
2,Andrew Horne,6,Person
3,Andrew Hornery,5,Person
4,Andrew Robertson,3,Person
6,Andrew Scipione,2,Person
7,Andrew Koutsoufis,2,Person
8,Andrew Phillips,2,Person
9,SuperIntendent Andrew Koutsoufis,1,Person
10,Andrew McCullough,1,Person
12,Andrew McLeod,1,Person
13,Andrew Morton,1,Person
14,Andrew Twiggy Forrest,1,Person
15,Andrew Forrest,1,Person
16,Mr Andrew Fisher,1,Person
17,Andrew Embley,1,Person
18,Andrew McFarland,1,Person
19,Andrew James Wilson,1,Person
20,Andrew Barr,1,Person
