,Sindex_Entry,Freq,Category
0,Austral,186,Organization
1,Australia,180,Organization
2,Australians,43,Organization
3,Australian Survivor,8,Organization
4,Australian Industry Group,7,Organization
5,Australia Institute's Centre,7,Organization
6,Australian Prime Minister Turnbull,5,Organization
7,All-Australian,5,Organization
9,Australian Survivor 2017,4,Organization
10,CPA Australia,4,Organization
11,Australian Bachelorette,4,Organization
12,Austral Loop,4,Organization
13,Great Austral Loop,2,Organization
14,South Australia,2,Organization
16,News Corp Australia,2,Organization
17,CPA Australia Board,2,Organization
18,Queen of Australia,2,Organization
20,Australian Securities,2,Organization
21,"Australia, 1995",1,Organization
22,Australian National University Medical School,1,Organization
23,Grand Designs Australia,1,Organization
24,West Australian,1,Organization
25,Australia Card,1,Organization
26,Thales Australia,1,Organization
27,Fassmer Australia,1,Organization
28,Australian Curriculum,1,Organization
29,Australian Story,1,Organization
30,Australian/British,1,Organization
31,Weekend Australian,1,Organization
32,Australian Flying Corps,1,Organization
33,Athletics Australia,1,Organization
34,DJs' Australian,1,Organization
35,Indigenous Australians,1,Organization
36,Australian Rugby,1,Organization
37,Australian Paper Mills,1,Organization
38,Australian Flying Cadets,1,Organization
39,Royal Australian Navy,1,Organization
40,Western Australia,1,Organization
41,Australian Women's Weekly,1,Organization
42,Australian Fleet,1,Organization
43,Australian Monarchist League,1,Organization
44,"Australia, 2007",1,Organization
45,Australian Idol,1,Organization
46,Damen's Australian,1,Organization
47,Harpers Bazaar Australia,1,Organization
48,"Australia, 2003",1,Organization
49,Raytheon Australia,1,Organization
50,Stadium Australia,1,Organization
51,Dame Australia,1,Organization
52,Australian Government,1,Organization
53,Australian Book Industry Awards,1,Organization
55,Cricket Australia,1,Organization
56,Australian Competition,1,Organization
57,Harper's Bazaar Australia,1,Organization
