,Sindex_Entry,Freq,Category
0,Australia,180,Organization
1,Australians,43,Organization
2,Australian Survivor,8,Organization
3,Australian Industry Group,7,Organization
4,Australia Institute's Centre,7,Organization
5,Australian Prime Minister Turnbull,5,Organization
6,All-Australian,5,Organization
8,Australian Survivor 2017,4,Organization
9,CPA Australia,4,Organization
10,Australian Bachelorette,4,Organization
11,South Australia,2,Organization
13,News Corp Australia,2,Organization
14,CPA Australia Board,2,Organization
15,Queen of Australia,2,Organization
17,Australian Securities,2,Organization
18,"Australia, 1995",1,Organization
19,Australian National University Medical School,1,Organization
20,Grand Designs Australia,1,Organization
21,West Australian,1,Organization
22,Australia Card,1,Organization
23,Thales Australia,1,Organization
24,Fassmer Australia,1,Organization
25,Australian Curriculum,1,Organization
26,Australian Story,1,Organization
27,Australian/British,1,Organization
28,Weekend Australian,1,Organization
29,Australian Flying Corps,1,Organization
30,Athletics Australia,1,Organization
31,DJs' Australian,1,Organization
32,Indigenous Australians,1,Organization
33,Australian Rugby,1,Organization
34,Australian Paper Mills,1,Organization
35,Australian Flying Cadets,1,Organization
36,Royal Australian Navy,1,Organization
37,Western Australia,1,Organization
38,Australian Women's Weekly,1,Organization
39,Australian Fleet,1,Organization
40,Australian Monarchist League,1,Organization
41,"Australia, 2007",1,Organization
42,Australian Idol,1,Organization
43,Damen's Australian,1,Organization
44,Harpers Bazaar Australia,1,Organization
45,"Australia, 2003",1,Organization
46,Raytheon Australia,1,Organization
47,Stadium Australia,1,Organization
48,Dame Australia,1,Organization
49,Australian Government,1,Organization
50,Australian Book Industry Awards,1,Organization
52,Cricket Australia,1,Organization
53,Australian Competition,1,Organization
54,Harper's Bazaar Australia,1,Organization
