,Sindex_Entry,Freq,Category
0,Brown,42,Organization
1,Brownlow,8,Organization
3,Ben Brown,3,Organization
4,Izzy Brown,3,Organization
5,Brownlow Medal,3,Organization
6,Ashley Browne,3,Organization
7,Tim Browne 17,2,Organization
8,Brownlow Medallist,2,Organization
9,"Brown, 7",2,Organization
10,Mitch Brown,2,Organization
11,Nathan Brown,2,Organization
12,Brown Bluff,2,Organization
13,David Brown,2,Organization
14,Lewis Brown 15,2,Organization
15,Callum Brown,1,Organization
16,Brownlow Medallist Patrick Dangerfield,1,Organization
17,Eric Brown,1,Organization
20,Labor's David Brown,1,Organization
