,Sindex_Entry,Freq,Category
0,Coast,40,Organization
1,West Coast,11,Organization
2,Gold Coast,11,Organization
3,Sunshine Coast,7,Organization
4,South Coast,5,Organization
5,Gold Coast Suns,3,Organization
6,West Coast Eagles,2,Organization
8,Sunshine Coast Jazz Club,1,Organization
9,Gold Coast Mayor,1,Organization
10,Fraser Coast,1,Organization
11,Queensland's Sunshine Coast,1,Organization
12,Sunshine Coast Mayor Mark Jamieson,1,Organization
13,Cox's West Coast,1,Organization
14,REIQ Near North Coast,1,Organization
15,Coast's $18,1,Organization
