,Sindex_Entry,Freq,Category
0,Col,68,Organization
1,Coast,40,Organization
2,Commissioner,21,Organization
3,Collingwood,11,Organization
4,Gold Coast,11,Organization
5,West Coast,11,Organization
7,Coles,10,Organization
8,Cooper,9,Organization
10,Sunshine Coast,7,Organization
11,Commonwealth,7,Organization
14,News Corp,6,Organization
15,Cockatoo,6,Organization
16,Nikolaj Coster-Waldau,6,Organization
17,Coughlan,6,Organization
18,South Coast,5,Organization
19,Conleth Hill,5,Organization
21,Police Integrity Commission,4,Organization
23,Wood Royal Commission,4,Organization
24,Ben Collins,4,Organization
25,Coleman Medal,4,Organization
26,Killer Cop,4,Organization
28,Coutts,4,Organization
29,Cosgrove,3,Organization
31,"Coventry City - $800,000",3,Organization
36,Jack Cogger,3,Organization
37,Derby County - $3.3,3,Organization
38,Derby County - $13,3,Organization
40,Connor Ogilvie,3,Organization
41,FC Copenhagen - $3.3,3,Organization
43,Gold Coast Suns,3,Organization
46,Philippe Countinho,3,Organization
47,James Cousins,3,Organization
48,Jack Cork,3,Organization
49,State Coroner John Abernethy,2,Organization
50,Cooper Island,2,Organization
51,Lachlan Coote 2,2,Organization
52,Coco,2,Organization
53,Cossie,2,Organization
54,Trinity College,2,Organization
55,Coad,2,Organization
57,Reece Conca,2,Organization
58,West Coast Eagles,2,Organization
61,Connor Blakely,2,Organization
62,Cooper Cronk 8,2,Organization
63,Correia,2,Organization
64,Connor Watson 2,2,Organization
65,Mitchell Cornish 18,2,Organization
66,Nick Coughlan,2,Organization
67,Jack Cogger 19,2,Organization
68,Cody Walker 7,2,Organization
69,News Corp Australia,2,Organization
70,Police Commissioner Ken Moroney,2,Organization
71,King Edward Cove,2,Organization
72,Corey Harawira-Naera 12,2,Organization
73,Corey Jensen 18,2,Organization
74,Frank Hurley Courtesy Scott Polar Research Institute,2,Organization
75,Paul O'Connor,2,Organization
77,Theatre Co,2,Organization
78,Assistant Commissioner Clive Small,2,Organization
79,Colthurst,2,Organization
82,Mark O'Connor,2,Organization
84,Roger Rogerson.Contributed,2,Organization
85,Newcastle Technical College,2,Organization
86,Dale Copley 4,2,Organization
87,Colima,2,Organization
89,Corey Norman 7,2,Organization
90,Investments Commission,2,Organization
91,Corporations Act,2,Organization
92,Grave Cove,2,Organization
94,Coutinho,2,Organization
96,"Nick Cotric, 3",2,Organization
98,Damien Cook 10,2,Organization
99,Golden Company,2,Organization
