,Sindex_Entry,Freq,Category
0,Commissioner,21,Organization
1,Police Commissioner Ken Moroney,2,Organization
2,Assistant Commissioner Clive Small,2,Organization
3,High Commissioner,1,Organization
4,SES Commissioner Adam Dent,1,Organization
6,Assistant Commissioner Bob Waites,1,Organization
8,NSW Police Commissioner Ken Moroney,1,Organization
9,Assistant Commissioner Wayne Starling,1,Organization
11,Commissioner Michael Fuller APM,1,Organization
12,Deputy Commissioner Dave Madden,1,Organization
13,ACT Commissioner,1,Organization
16,Assistant Commissioner Michael Fuller,1,Organization
17,NSW Police Commissioner Andrew Scipione,1,Organization
18,Police Commissioner Peter Ryan,1,Organization
19,Assistant Commissioner Bob May,1,Organization
