,Sindex_Entry,Freq,Category
0,Dan,113,Organization
1,Dani,38,Organization
3,Dangerfield,12,Organization
4,Patrick Dangerfield,7,Organization
6,Danaerys Stormborn of the House,5,Organization
8,Dangar Place,4,Organization
9,Dan McStay,4,Organization
10,Danyle Pearce,3,Organization
11,CHAIRMAN Daniel Levy,3,Organization
13,Daniel Bachmann,3,Organization
14,Daniel Wells,3,Organization
15,Dan Crowley,3,Organization
17,Joe Daniher,3,Organization
18,Daniel Alvaro 15,2,Organization
19,Dan Fairchild Photography,2,Organization
20,Danny Levi 15,2,Organization
23,Daniel Tupou 3,2,Organization
24,Daniel Saifiti 9,2,Organization
25,Dane Gagai 4,2,Organization
27,Daniel Venables,2,Organization
28,Dany's Face,2,Organization
29,Daniel Menzel,2,Organization
30,Danyle Pearce (2007,1,Organization
32,Dan Menzel,1,Organization
34,Brownlow Medallist Patrick Dangerfield,1,Organization
35,Dan Nielson,1,Organization
36,Daniel Howe (23,1,Organization
41,Daniel Rioli,1,Organization
42,Danyle Pearce (24,1,Organization
43,Dani Alves,1,Organization
44,P.Dangerfield,1,Organization
45,Paddy Dangerfield,1,Organization
46,Intelligence Dan Coats,1,Organization
48,Dan Houston,1,Organization
49,Dan Hannebery,1,Organization
51,Dan Robinson,1,Organization
