,Sindex_Entry,Freq,Category
0,Fa,65,Organization
1,Facebook,9,Organization
2,Fassmer,5,Organization
3,Fairfax Media,4,Organization
5,Farhad Moshiri,3,Organization
6,Chris Fagan,3,Organization
7,Farmer Fred,2,Organization
8,Dan Fairchild Photography,2,Organization
9,Fairburn Pine Plantation,2,Organization
10,Great Famine,2,Organization
11,Falkland Islands,2,Organization
12,Raymond Faitala-Mariner 16,2,Organization
13,XY Ford Fairmont,2,Organization
14,Hall of Fame,2,Organization
15,Robbie Farah 15,2,Organization
16,Falklands,2,Organization
17,Fancy Lad School,2,Organization
18,Dany's Face,2,Organization
19,Ben Rushton/Fairfax Media,2,Organization
20,Pentecostal Rhema Family Church,1,Organization
21,Financial Fair Play,1,Organization
22,Fassmer of Germany,1,Organization
24,Fassmer Australia,1,Organization
27,Famish Hotel,1,Organization
28,New Voices of Fantasy,1,Organization
29,Far Side,1,Organization
30,Officer Sea Familiarisation,1,Organization
31,Fassmer's Director Sales,1,Organization
33,Falcons,1,Organization
34,Noel Harold Stubbs/Fairfax Media,1,Organization
35,Harald Fassmer,1,Organization
