,Sindex_Entry,Freq,Category
0,Frank,32,Organization
1,Franklin,5,Organization
2,Franks,4,Organization
3,Frank Pritchard,3,Organization
5,Frank Pritchard 21,2,Organization
6,Frank Hurley Courtesy Scott Polar Research Institute,2,Organization
8,Frank Winterstein 12,2,Organization
9,Courtesy of Frank,1,Organization
10,Buddy Franklin,1,Organization
11,Dr. Frank-N-Furter,1,Organization
12,Frank Violi.Source,1,Organization
14,Donavon Frankenreiter,1,Organization
15,Frank Dohmen,1,Organization
16,Frankfurt,1,Organization
17,Frankenpotatoes,1,Organization
18,Frank Dickens,1,Organization
19,Sir Frank Packer,1,Organization
21,Frank Robson,1,Organization
22,Frank Oliveri,1,Organization
