,Sindex_Entry,Freq,Category
0,George,38,Organization
2,Grey,23,Organization
3,God,22,Organization
4,Germany,21,Organization
5,Getty Images,21,Organization
6,Graham,19,Organization
8,Griffiths,15,Organization
9,Geelong,15,Organization
11,Gold Coast,11,Organization
12,Gibson,11,Organization
13,Getty Images1,10,Organization
14,Grey Worm,9,Organization
15,Greyjoy,9,Organization
16,Aidan Gillen,9,Organization
17,Game of Thrones,9,Organization
18,Google,9,Organization
19,Graeme,8,Organization
21,Gao,8,Organization
22,GWS,8,Organization
23,Governor Philip Lowe,7,Organization
24,AIG,7,Organization
26,Labor Government,7,Organization
27,Rudd-Gillard,7,Organization
28,GFC,7,Organization
29,Australian Industry Group,7,Organization
30,MCG,7,Organization
31,Ai Group,7,Organization
32,Guardiola,6,Organization
34,PSG,6,Organization
35,Golden,6,Organization
37,SCG,6,Organization
38,Iain Glen,5,Organization
39,Gordon,5,Organization
41,Gabba,5,Organization
42,Goldstein,5,Organization
43,Grass Sea,5,Organization
44,Theon Greyjoy,5,Organization
45,George RR Martin,5,Organization
47,Khalisi of the Great,5,Organization
48,Gulf War,4,Organization
49,GoogleBran,4,Organization
50,Goddard,4,Organization
51,Al Gore,4,Organization
52,Whiskey Au Go Go,4,Organization
54,Godswood,4,Organization
57,Gazal,4,Organization
60,Glen McNamara,4,Organization
61,George Freeman On May 9,4,Organization
63,Ben Guthrie,4,Organization
64,Marc McGowan,4,Organization
65,Gabor,4,Organization
66,Lee Gaskin,4,Organization
67,Mark Gatiss,4,Organization
68,Gateshead,4,Organization
69,David Gower,4,Organization
71,Gunston,3,Organization
72,Rene Gilmartin,3,Organization
73,Aiden McGeady,3,Organization
74,Golo Kante,3,Organization
75,RATING: 7/10,3,Organization
76,Gold Coast Suns,3,Organization
78,Bobo-Glimt - $2.1,3,Organization
80,Galatasaray,3,Organization
81,RATING: 3/10,3,Organization
82,George Dobson,3,Organization
83,Yoan Gouffran,3,Organization
84,Jack Gosiewski,3,Organization
85,Oh God,3,Organization
86,Gylfi Sigurdsson,3,Organization
87,Forest Green Rovers,3,Organization
88,Gael Clichy,3,Organization
89,Gareth Widdop,3,Organization
90,SINGAPORE,3,Organization
91,Matt Gillett,3,Organization
92,Getafe,3,Organization
93,RATING: 5/10,3,Organization
94,RATING: 8/10,3,Organization
97,George Boyd,3,Organization
98,Guild,3,Organization
100,George Green,3,Organization
102,Glen Kamara,3,Organization
104,McGrath,3,Organization
105,Glenn Whelan,3,Organization
106,RATING: 6/10,3,Organization
107,RATING: 9/10,3,Organization
108,Grundy,3,Organization
109,Pep Guardiola,3,Organization
110,Gillingham,3,Organization
111,Bafetimbi Gomis,3,Organization
113,RATING: 2/10,3,Organization
114,Guilfy Sigardsson,3,Organization
116,Russell Griffiths,3,Organization
117,Madgar Gomes,3,Organization
119,RATING: 4/10,3,Organization
120,Angus Gunn,3,Organization
121,Girona,3,Organization
122,Gama - $16.4,3,Organization
123,Manolo Gabbiadini,3,Organization
124,Guizhou - $8.2,3,Organization
126,PSG's Serge Aurier,3,Organization
127,Galatasary - $9,3,Organization
128,RATING: 0/10,3,Organization
129,James Gibson,2,Organization
130,Matt Gillett 13,2,Organization
131,Greenfields,2,Organization
132,Campbell Graham,2,Organization
133,Mr Gurn,2,Organization
134,Galston Gorge,2,Organization
136,Guildford,2,Organization
138,Good Friday,2,Organization
139,McGann,2,Organization
141,Hugh Goddard,2,Organization
143,Mr Gibson,2,Organization
144,James Graham 11,2,Organization
146,David Gower 19,2,Organization
147,National Geographic Travel Photographer of the Year,2,Organization
149,Tea Tree Gully,2,Organization
150,Grand Final,2,Organization
