,Sindex_Entry,Freq,Category
0,Jack,69,Organization
1,Jackson,10,Organization
2,Jack Riewoldt,6,Organization
3,Ryley Jacks,4,Organization
4,Jack Gosiewski,3,Organization
7,Jack Cork,3,Organization
8,Jack Bird,3,Organization
9,Jack Cogger,3,Organization
10,Jack Fitzwater,3,Organization
11,Jack Cogger 19,2,Organization
13,Josh Jackson 12,2,Organization
14,Jack Gosiewski 20,2,Organization
15,Jack Gunston,2,Organization
16,Jack Redpath,2,Organization
17,Ryley Jacks 7,2,Organization
18,Jack Littlejohn 18,2,Organization
19,"Jack Bird, 4",2,Organization
20,Jack Dawson,2,Organization
21,Jackson Merrett,2,Organization
22,Jack Graham,2,Organization
23,"Jack Wighton, 2",2,Organization
24,Does Jack,1,Organization
25,Kristene Jackson,1,Organization
26,Jack Waterford,1,Organization
27,Jack Mort,1,Organization
28,Jack Billings,1,Organization
29,Jackson Ramsay (24,1,Organization
30,Happy Jack,1,Organization
31,Hugh Jackman,1,Organization
32,Peter Jackson,1,Organization
33,Jack Macrae,1,Organization
34,Jack Newton Celebrity Golf Classic,1,Organization
35,Jack Hombsch,1,Organization
36,Jack Gosiewski 20.David Tyrrell 22,1,Organization
37,Jack Carr,1,Organization
38,Lion Jack Redden,1,Organization
39,Jack Clark,1,Organization
