,Sindex_Entry,Freq,Category
0,James,52,Organization
1,James Milner,3,Organization
2,James Tedesco,3,Organization
3,Ryan James,3,Organization
4,James Cousins,3,Organization
5,St. James' Park,3,Organization
6,James Horsfield,3,Organization
7,James Frawley,3,Organization
8,James Tedesco 2,2,Organization
9,Ryan James 11,2,Organization
10,James Gibson,2,Organization
11,James Fisher-Harris 18,2,Organization
12,James Roberts 4,2,Organization
13,James Graham 11,2,Organization
14,James Kelly,2,Organization
15,James Bell 20,2,Organization
16,James Tamou 9,2,Organization
17,James Sicily,2,Organization
18,"James Segeyaro, 10",2,Organization
20,James Morrison,1,Organization
23,Oliver James Cherry,1,Organization
24,James Packer's Arctic P,1,Organization
25,Dr James Colthurst,1,Organization
26,James McDonald,1,Organization
30,James Bond,1,Organization
