,Sindex_Entry,Freq,Category
0,John,100,Organization
1,Johnson,16,Organization
2,John Durkan,8,Organization
3,John Veage,7,Organization
5,Steve Johnson,5,Organization
6,John Bradley,5,Organization
7,Sam Johnstone,3,Organization
9,John Olive,3,Organization
11,John Asiata 9,2,Organization
12,State Coroner John Abernethy,2,Organization
13,John Olive 5,2,Organization
14,John Worsfold,2,Organization
15,John Madelly,2,Organization
16,John Sutton 12,2,Organization
17,John Dorahy,2,Organization
19,John Klepczarek,2,Organization
20,Alex Johnston 2,2,Organization
21,John Martez,1,Organization
22,Brad Johnson,1,Organization
23,John Longmire,1,Organization
26,John Galvin,1,Organization
28,Lt John Sperring,1,Organization
29,John Eales,1,Organization
30,John Foster,1,Organization
31,Inspector John Klepczarek,1,Organization
32,John Richardson,1,Organization
33,John Madelly Snr,1,Organization
34,John Howard,1,Organization
36,John Klepzcarek,1,Organization
37,John Rickard,1,Organization
38,Aidyn Johnson,1,Organization
40,S.Johnson,1,Organization
41,Mitchell Johnson,1,Organization
42,John Bastiras,1,Organization
44,John Wiles,1,Organization
46,John Butler Trio,1,Organization
47,Liberal John Dorahy,1,Organization
48,John Coochey,1,Organization
50,John Passant,1,Organization
52,Martin Johnson,1,Organization
53,John Augustson,1,Organization
54,John Rainbird,1,Organization
55,John Becquet,1,Organization
