,Sindex_Entry,Freq,Category
0,Jones,29,Organization
1,Lloyd Jones,6,Organization
2,David Jones,4,Organization
3,Harvey Jones,4,Organization
4,Nathan Jones,4,Organization
5,McDonald Jones Stadium,2,Organization
6,Charles Lloyd Jones,2,Organization
8,David Jones Ballroom,1,Organization
9,Davy Jones,1,Organization
10,Sydney's Lloyd Jones,1,Organization
11,Patrick Jones,1,Organization
12,David Jones Ltd,1,Organization
13,David Jones Food Hall,1,Organization
14,Zak Jones,1,Organization
16,Sir Charles Lloyd Jones,1,Organization
17,Vince Jones,1,Organization
19,N.Jones,1,Organization
