,Sindex_Entry,Freq,Category
0,July,39,Organization
1,July 1,7,Organization
2,July 31,6,Organization
3,July 29,4,Organization
4,July 27,2,Organization
5,July 19,2,Organization
6,July 22,2,Organization
7,July 26,2,Organization
8,July 28,2,Organization
9,"July 1, 1972",2,Organization
10,July 30,2,Organization
11,July 20,2,Organization
12,July 18,1,Organization
13,July 11,1,Organization
14,July 4,1,Organization
15,July 30-August 5,1,Organization
16,July 25,1,Organization
17,July 24,1,Organization
18,July 21,1,Organization
19,July 23,1,Organization
20,July 1915,1,Organization
