,Sindex_Entry,Freq,Category
0,Ken,57,Organization
1,Kennedy,18,Organization
5,Jarrad Kennedy,3,Organization
6,Ken Hinkley,3,Organization
7,Pat McKenna,3,Organization
8,Jarrad Kennedy 19,2,Organization
9,Police Commissioner Ken Moroney,2,Organization
10,J.Kennedy,2,Organization
11,Ken Sio 3,2,Organization
12,Shaun Kenny-Dowall 6,2,Organization
15,Dean Kent,2,Organization
16,Adam Kennedy,2,Organization
17,"Ken Maumalo, 6",2,Organization
18,Kay Kent,1,Organization
20,J.Kennedy-Harris,1,Organization
24,Ken Smith,1,Organization
25,Ken Mc Donald,1,Organization
26,Kensington Palace,1,Organization
27,McKenzie/Cheika Wallabies,1,Organization
28,Ken Dodd,1,Organization
29,T.McKenzie,1,Organization
30,NSW Police Commissioner Ken Moroney,1,Organization
31,Ken McDonald,1,Organization
32,Ken Lynch,1,Organization
