,Sindex_Entry,Freq,Category
0,Mark,42,Organization
1,Mark Morey,7,Organization
2,Mark Gatiss,4,Organization
3,Nathangelo Markelo,3,Organization
4,Jake Marketo,3,Organization
5,Marko Arnautovic,3,Organization
6,Mark Travers,3,Organization
7,Mark O'Connor,2,Organization
8,Jake Marketo 21,2,Organization
9,Mark Blicavs,2,Organization
10,Markwell's Fisheries,1,Organization
12,Sunshine Coast Mayor Mark Jamieson,1,Organization
13,Raytheon Mark 49 Mod 2 RAM,1,Organization
14,Mark Lamarre,1,Organization
16,Mark Lavers,1,Organization
20,Mark S. Miller,1,Organization
21,Thales Smart-S Mark 2,1,Organization
22,Mark Todd,1,Organization
23,Mark Knopfler,1,Organization
