,Sindex_Entry,Freq,Category
0,Michael,83,Organization
1,Michael Drury,8,Organization
2,Minister Michaelia Cash,7,Organization
3,Michael Whiting,4,Organization
4,Detective Michael Drury,4,Organization
5,Michael Fuller,3,Organization
6,Michael Knightly,3,Organization
7,Michael Keane,3,Organization
9,Michael Lichaa,3,Organization
10,Michael Oldfield,3,Organization
11,"Michael Oldfield, 19",2,Organization
12,Michael Jennings 4,2,Organization
13,Michael Apeness,2,Organization
15,Michael Morgan 8,2,Organization
16,Michael Barlow,2,Organization
17,Michael Lichaa 19,2,Organization
19,Michael Chee-Kam 17,2,Organization
21,Michael Thiele,1,Organization
22,Michael Pettersson,1,Organization
23,Police Minister Michael Gallacher,1,Organization
24,Michael Coad,1,Organization
25,Michael Poore,1,Organization
27,Michael Handball,1,Organization
28,Michael Maguire,1,Organization
29,Michael Dean Morgan,1,Organization
30,Commissioner Michael Fuller APM,1,Organization
31,Michael Piggott,1,Organization
32,Detective Senior Sergeant Michael,1,Organization
33,Assistant Commissioner Michael Fuller,1,Organization
34,Michael Grade,1,Organization
35,Michael O'Loughlin,1,Organization
36,Michael McCarthy,1,Organization
38,Michael Jeter,1,Organization
39,Michael Cheika,1,Organization
40,Michael Close,1,Organization
41,Michael McLean,1,Organization
42,Michael Rischitelli,1,Organization
43,Michael Kinloch,1,Organization
44,Michael Firrito,1,Organization
45,Michael Willing,1,Organization
46,Michael Hibberd,1,Organization
47,Michael Willson/AFL Media/Getty Images,1,Organization
