,Sindex_Entry,Freq,Category
0,N,782,Organization
2,Nick,22,Organization
3,Newcastle,18,Organization
4,Entertainment News,17,Organization
7,UN,15,Organization
8,National Security Advisor,14,Organization
9,Noble,14,Organization
10,New York,13,Organization
11,November,13,Organization
13,New Zealand,10,Organization
14,Norwich,9,Organization
15,Noosa,9,Organization
17,Entertainment News Videos,9,Organization
18,North Melbourne,9,Organization
19,November 1,8,Organization
20,Neddy,8,Organization
22,Naismith,8,Organization
23,News Alert,7,Organization
26,Night King,7,Organization
27,Norwich City,6,Organization
28,News Corp,6,Organization
30,Nottingham Forest,6,Organization
31,SANFL,6,Organization
32,Nikolaj Coster-Waldau,6,Organization
33,Naath,6,Organization
34,Newcastle United,6,Organization
35,Nick Riewoldt,5,Organization
36,Entertainment Newsletter,5,Organization
37,Sam Naismith,5,Organization
38,Nel,5,Organization
39,King of the North,5,Organization
41,Norm Smith,5,Organization
42,Dinny Navaratnam,4,Organization
43,Naked CEO,4,Organization
44,Jon S. No,4,Organization
45,NSW Police Force,4,Organization
46,NBN,4,Organization
47,ANU,4,Organization
48,Adelaide's SANFL,4,Organization
49,Neddy Smith,4,Organization
50,Nathan Schmook,4,Organization
51,Ney,4,Organization
52,Glen McNamara,4,Organization
53,News Limited,4,Organization
54,BUENOS AIRES,4,Organization
55,Banker Tycho Nestoris,4,Organization
56,Nathan Jones,4,Organization
58,Nick Larkey,4,Organization
59,Seven Network,4,Organization
60,Newcastle United - $10,3,Organization
61,NBL,3,Organization
62,Naby Keita,3,Organization
63,RATING: 7/10,3,Organization
64,Nolito,3,Organization
65,Nottingham Forrest,3,Organization
68,"JANUARY 28, 2017 FROM 5:05 TO 5:29 P.M. EST",3,Organization
69,NAC Breda,3,Organization
70,RATING: 3/10,3,Organization
71,Mathias Normann,3,Organization
72,Northampton Town,3,Organization
73,CHAIRMAN Daniel Levy,3,Organization
74,NRL,3,Organization
75,Navy,3,Organization
77,Nathan Ake,3,Organization
78,Oliver Ntcham,3,Organization
79,SINGAPORE,3,Organization
80,Kodi Nikorima,3,Organization
81,RATING: 5/10,3,Organization
82,RATING: 8/10,3,Organization
83,Nat Fyfe,3,Organization
85,RATING: 6/10,3,Organization
86,RATING: 9/10,3,Organization
87,Nottingham Forest - $3.3,3,Organization
88,Oliver Norwood,3,Organization
89,RATING: 2/10,3,Organization
90,Havard Nordtveit,3,Organization
92,Nabil Bentaleb,3,Organization
93,RATING: 4/10,3,Organization
95,Nambour,3,Organization
96,Norwich City - $19.7,3,Organization
97,Nathangelo Markelo,3,Organization
98,Nemanja Matic,3,Organization
99,Neymar,3,Organization
100,RATING: 0/10,3,Organization
101,Northumberland,2,Organization
102,New Year's Eve,2,Organization
103,Ben McNeice,2,Organization
104,Kevin Naiqama 5,2,Organization
