,Sindex_Entry,Freq,Category
0,Paul,64,Organization
2,Paul Puopolo,6,Organization
4,Paul Clement,3,Organization
5,Paul Robinson,3,Organization
6,Joseph Paulo,3,Organization
7,Paul Pogba,3,Organization
8,"Joseph Paulo, 20",2,Organization
9,Paul Gallen,2,Organization
10,Paulini,2,Organization
11,"Paulo, 9",2,Organization
12,Paul Ahern,2,Organization
13,Paul O'Donoghue,2,Organization
14,Paul O'Connor,2,Organization
15,Paul Vaughan 11,2,Organization
17,Paulo Dybala,1,Organization
18,Paul Dear,1,Organization
19,Paul Vaughan 11.Tyson Frizell 12,1,Organization
20,Sao Paulo,1,Organization
21,Paulini Curuenavuli,1,Organization
22,Paul Chapman,1,Organization
23,Paul Hasleby,1,Organization
24,Paul Buchhorn,1,Organization
25,Paul Lyddiard,1,Organization
26,Fr. Paul O'Donoghue,1,Organization
28,Paul McGann,1,Organization
29,Paul Seedsman,1,Organization
32,Paul Budde,1,Organization
33,Paul Wayper,1,Organization
34,Paul Kelly,1,Organization
36,St. Paul,1,Organization
