,Sindex_Entry,Freq,Category
0,Peter,48,Organization
1,Peter Dinklage,5,Organization
2,Peter Phelps,4,Organization
3,Peter Ryan,3,Organization
4,Nathaniel Peteru 19,2,Organization
5,Peter Dutton,2,Organization
6,Peter Letcher,2,Organization
7,Peter Mata,2,Organization
8,Peter Wallace 10,2,Organization
9,Peter S. Beagle,1,Organization
10,Southern Region Command Peter Barrie,1,Organization
11,Peter Wright,1,Organization
13,Peter Moran,1,Organization
14,Police Commissioner Peter Ryan,1,Organization
15,Peter Berenyi,1,Organization
16,Peter Martin,1,Organization
17,St. Peter's Anglican Church,1,Organization
19,Peter Crobett,1,Organization
20,Peter Croser,1,Organization
21,Governor-General Sir Peter Cosgrove,1,Organization
22,Peter Capaldi,1,Organization
23,Peter Schwab,1,Organization
24,Peter Bell,1,Organization
25,Big Brother's Peter Corbett,1,Organization
26,Peter Jackson,1,Organization
27,Peter Critcher,1,Organization
28,Peter Davison,1,Organization
29,Peter Everitt,1,Organization
30,Peter Stefanjuk,1,Organization
31,Peter Healy,1,Organization
32,General Peter Cosgrove,1,Organization
33,Peter Ashworth,1,Organization
34,Peter Settelen,1,Organization
