,Sindex_Entry,Freq,Category
0,Queen,40,Organization
1,Queensland,11,Organization
2,Queen of Thorns,6,Organization
3,Queen of the Andals,5,Organization
4,Queen Elizabeth,3,Organization
5,Queen's Justice,2,Organization
6,Queensland Government,2,Organization
7,Queen Cersei,2,Organization
8,Yass Queen,2,Organization
9,Queen of Australia,2,Organization
11,HM Queen Elizabeth II,1,Organization
12,South Queensland,1,Organization
13,North Queensland,1,Organization
14,Queen of the United,1,Organization
15,Queensland Government Fish Board,1,Organization
16,Queensland.Source,1,Organization
17,Queens College,1,Organization
18,Queensland's Sunshine Coast,1,Organization
