,Sindex_Entry,Freq,Category
0,Rob,87,Organization
1,Robert,32,Organization
5,Ron-Robert Zieler,3,Organization
8,Robert Huth,3,Organization
9,Paul Robinson,3,Organization
10,Rob Hunt,3,Organization
12,Antonee Robinson,3,Organization
13,"Amanda Robinson, 14",2,Organization
14,James Roberts 4,2,Organization
15,Robin Arryn,2,Organization
16,Tyrone Roberts 15,2,Organization
18,Robert Jennings 6,2,Organization
20,Rob Ryan,2,Organization
21,Mitch Robinson,2,Organization
22,Robson,2,Organization
24,Robbie Farah 15,2,Organization
25,Robert Harvey,2,Organization
26,Rob Havasi,1,Organization
27,Robert Roux,1,Organization
29,K.Robinson,1,Organization
30,D.Robinson,1,Organization
34,Rob Mills,1,Organization
39,Robert Menzies,1,Organization
43,Rob Gooda,1,Organization
44,Rob Coughlan,1,Organization
46,Robert Murphy,1,Organization
47,Robodebt,1,Organization
48,Dan Robinson,1,Organization
50,Rob Hevesi,1,Organization
51,Frank Robson,1,Organization
53,Rob Lowe,1,Organization
