,Sindex_Entry,Freq,Category
0,Sam,114,Organization
1,Sam Frost,9,Organization
3,Sam Naismith,5,Organization
5,Sam Mitchell,4,Organization
6,Bachelorette Sam Frost,4,Organization
7,Sam Kasiano,4,Organization
8,Sam Johnstone,3,Organization
9,Sam Sturridge,3,Organization
10,Sam Hoare,3,Organization
13,Sam Jacobs,3,Organization
15,Sam Hughes,3,Organization
16,Sam Stone,3,Organization
17,Sam Westley,3,Organization
18,Sam Dastyari,3,Organization
19,Sam Allardyce,3,Organization
20,Sam Kasiano 15,2,Organization
23,Sam McLarty,2,Organization
25,Sam Mayes,2,Organization
26,Phillip Sami 20,2,Organization
27,"Sam Lisone, 16",2,Organization
28,Sam Thaiday 15,2,Organization
29,Sam Rowe,2,Organization
30,Sam Wright,2,Organization
32,Sam Burgess,2,Organization
33,Sam Stone 20,2,Organization
34,Sam Hoare 21,2,Organization
35,Sam Tagtaese 21,2,Organization
37,Sam Gray,2,Organization
38,Sam Tagataese,1,Organization
39,Sam Kerridge,1,Organization
41,Sam Collins,1,Organization
42,Sam Fisher,1,Organization
43,Sam Walker,1,Organization
44,Sam Docherty,1,Organization
45,Sam Weideman,1,Organization
46,Sam Powell-Pepper,1,Organization
47,Sam Durdin,1,Organization
48,Sam Gibson (18,1,Organization
50,Sam Simpson,1,Organization
