,Sindex_Entry,Freq,Category
0,Scott,48,Organization
1,Treasurer Scott Morrison,7,Organization
2,Brad Scott,4,Organization
5,Curtis Scott,3,Organization
6,Curtis Scott 5,2,Organization
7,Scott Pendlebury,2,Organization
8,Scott Selwood,2,Organization
9,Frank Hurley Courtesy Scott Polar Research Institute,2,Organization
10,Scott Ludlam,2,Organization
11,Scott Bolton 11,2,Organization
12,Scott Lycett,2,Organization
13,Scott Swift,1,Organization
14,Scott Thompson (25,1,Organization
17,Ralph Peel Scott,1,Organization
20,Scott Lucas,1,Organization
21,Wave Scott,1,Organization
22,Miss Scott,1,Organization
23,Scott Selwood (23,1,Organization
24,Scott West,1,Organization
26,Murray Scott,1,Organization
27,Chris Scott,1,Organization
