,Sindex_Entry,Freq,Category
0,Smith,54,Organization
1,Norm Smith,5,Organization
2,Joy Smithers,4,Organization
3,Neddy Smith,4,Organization
4,Chris Smith,3,Organization
5,Smith 20,2,Organization
6,Chris Smith 21,2,Organization
7,Roarke Smith,2,Organization
8,Norm Smith Medal,2,Organization
9,Cameron Smith,2,Organization
10,Isaac Smith,2,Organization
11,Tim Smith,2,Organization
12,Brodie Smith,2,Organization
13,AAP Image/Julian Smith,2,Organization
14,William Henry Smith,1,Organization
15,Judd's Norm Smith,1,Organization
16,Kingsford Smith Airport,1,Organization
17,Clay Smith,1,Organization
18,Wayne Smith,1,Organization
20,Ken Smith,1,Organization
21,Norm Smith Medallists,1,Organization
22,Josh Smith (33,1,Organization
23,Will Smith,1,Organization
24,Matt Smith,1,Organization
25,Steve Smith,1,Organization
27,Geelong's George Horlin-Smith,1,Organization
30,C.Smith,1,Organization
