,Sindex_Entry,Freq,Category
0,Steve,55,Organization
1,Steven,35,Organization
3,Steve Johnson,5,Organization
4,Steve Bastoni,4,Organization
5,Steven Berghuis,3,Organization
6,Steven Alzate,3,Organization
7,Steven May,3,Organization
8,Steve Mounie,3,Organization
9,Steven Defour,3,Organization
11,Steve Mandanda,3,Organization
12,Stevenage,3,Organization
13,Steven Motlop,3,Organization
16,Steven Morris,2,Organization
17,Steven King,1,Organization
18,Steve Hegarty,1,Organization
19,K.Stevens,1,Organization
20,Steve Smith,1,Organization
21,Steven Moffat,1,Organization
22,Steve Gersbach,1,Organization
