,Sindex_Entry,Freq,Category
0,United,81,Organization
1,United States,38,Organization
2,United States of America,15,Organization
3,Manchester United,10,Organization
4,Newcastle United,6,Organization
5,West Ham United,6,Organization
6,Newcastle United - $10,3,Organization
7,Manchester United - $66,3,Organization
8,West Ham United - $33,3,Organization
9,Manchester United - $123,3,Organization
10,Dundee United,3,Organization
11,Leeds United,3,Organization
12,Scunthorpe United,3,Organization
13,Oxford United,3,Organization
14,Mexico-United States,2,Organization
16,United Nations,1,Organization
17,Salisbury United,1,Organization
18,Queen of the United,1,Organization
19,United Kingdom,1,Organization
