,Sindex_Entry,Freq,Category
0,West,73,Organization
1,West Coast,11,Organization
2,Western Bulldogs,9,Organization
3,West Brom,9,Organization
4,Westeros,7,Organization
5,West Ham United,6,Organization
7,West Bromwich Albion,3,Organization
8,West Ham United - $33,3,Organization
9,West Brom - $19.7,3,Organization
10,Westworld,3,Organization
11,Sam Westley,3,Organization
12,East West,2,Organization
13,Westerosi,2,Organization
15,West Coast Eagles,2,Organization
16,West Adelaide,1,Organization
17,West Australian,1,Organization
18,West Mineral Resource,1,Organization
19,Western Derby,1,Organization
20,West Lodes,1,Organization
21,East West Pit,1,Organization
22,West Dapto,1,Organization
23,Palace of Westminster,1,Organization
24,Western Force,1,Organization
25,Weston,1,Organization
26,Cox's West Coast,1,Organization
27,Western Australia,1,Organization
29,Scott West,1,Organization
30,Kanye West,1,Organization
31,Geelong West,1,Organization
32,West End,1,Organization
33,Westpac,1,Organization
34,Western Bulldogs-like,1,Organization
35,British Westminster,1,Organization
