,Sindex_Entry,Freq,Category
0,William,40,Organization
3,Maisie Williams,4,Organization
4,Joe Williams,3,Organization
6,William Zillman 6,2,Organization
7,Marley Williams,2,Organization
8,William Henry Smith,1,Organization
9,T.Williamson,1,Organization
11,Gnr Arthur William Black,1,Organization
12,William Hartnell,1,Organization
13,William Haddow,1,Organization
16,William Read Beeston,1,Organization
18,Aggie Williams,1,Organization
19,Williamstown,1,Organization
20,Evan Williams,1,Organization
21,William Richard Shorten,1,Organization
22,Buddy Williams,1,Organization
