,Sindex_Entry,Freq,Category
0,Yo,37,Organization
1,New York,13,Organization
2,Youngberry,4,Organization
3,Yoan Gouffran,3,Organization
4,New York Times,2,Organization
5,New York's Times Square,2,Organization
6,New Yorker,2,Organization
7,Tim Youngberry,2,Organization
8,Cam Ellis-Yolmen,2,Organization
9,YouTube,2,Organization
10,Aaron Young,2,Organization
13,Taylor Yousiph,1,Organization
15,Young Matildas,1,Organization
16,New York City,1,Organization
17,Rocky Young,1,Organization
18,Whitney Houston's When You Believe,1,Organization
19,Young Divas,1,Organization
20,Yousef Akbar,1,Organization
